rest_id,chain,state,southj,centralj,shore,pa1,pa2,period,empft,emppt,nmgrs,stwage,pentree,fte,time,post,treated
46,BK,PA,0,0,0,1,0,pre,30,15,3,NA,16.5,40.5,1,0,0
46,BK,PA,0,0,0,1,0,post,3.5,35,3,4.3,16.5,24,2,1,0
49,KFC,PA,0,0,0,1,0,pre,6.5,6.5,4,NA,13,13.75,1,0,0
49,KFC,PA,0,0,0,1,0,post,0,15,4,4.45,13,11.5,2,1,0
506,KFC,PA,0,0,0,1,0,pre,3,7,2,NA,10,8.5,1,0,0
506,KFC,PA,0,0,0,1,0,post,3,7,4,5,11,10.5,2,1,0
56,Wendys,PA,0,0,0,1,0,pre,20,20,4,5,12,34,1,0,0
56,Wendys,PA,0,0,0,1,0,post,0,36,2,5.25,12,20,2,1,0
61,Wendys,PA,0,0,0,1,0,pre,6,26,5,5.5,12,24,1,0,0
61,Wendys,PA,0,0,0,1,0,post,28,3,6,4.75,12,35.5,2,1,0
62,Wendys,PA,0,0,0,1,0,pre,0,31,5,5,12,20.5,1,0,0
62,Wendys,PA,0,0,0,1,0,post,NA,NA,NA,NA,12,NA,2,1,0
445,BK,PA,0,0,0,0,1,pre,50,35,3,5,18,70.5,1,0,0
445,BK,PA,0,0,0,0,1,post,15,18,5,4.75,18,29,2,1,0
451,BK,PA,0,0,0,0,1,pre,10,17,5,5,24,23.5,1,0,0
451,BK,PA,0,0,0,0,1,post,26,9,6,5,24,36.5,2,1,0
455,KFC,PA,0,0,0,0,1,pre,2,8,5,5.25,10,11,1,0,0
455,KFC,PA,0,0,0,0,1,post,3,12,2,5,11,11,2,1,0
458,KFC,PA,0,0,0,1,0,pre,2,10,2,5,10,9,1,0,0
458,KFC,PA,0,0,0,1,0,post,2,9,2,5,10.5,8.5,2,1,0
462,Roys,PA,0,0,0,0,1,pre,2.5,20,3,5,12.5,15.5,1,0,0
462,Roys,PA,0,0,0,0,1,post,1,25,4,4.75,12,17.5,2,1,0
468,BK,PA,0,0,0,0,1,pre,40,30,3,5,18,58,1,0,0
468,BK,PA,0,0,0,0,1,post,9,32,4,5,18,29,2,1,0
469,BK,PA,0,0,0,0,1,pre,8,27,5,5,18,26.5,1,0,0
469,BK,PA,0,0,0,0,1,post,7,39,4,4.5,18,30.5,2,1,0
470,BK,PA,0,0,0,0,1,pre,10.5,30,3,5.5,18,28.5,1,0,0
470,BK,PA,0,0,0,0,1,post,18,10,3,4.75,18,26,2,1,0
474,BK,PA,0,0,0,0,1,pre,6,9,3,5,12.5,13.5,1,0,0
474,BK,PA,0,0,0,0,1,post,5,20,3,4.5,13,18,2,1,0
481,KFC,PA,0,0,0,0,1,pre,5,17.5,3,5.25,10,16.75,1,0,0
481,KFC,PA,0,0,0,0,1,post,15,4,3,5,11,20,2,1,0
483,KFC,PA,0,0,0,0,1,pre,1,15,1,5,10,9.5,1,0,0
483,KFC,PA,0,0,0,0,1,post,4,13,3,4.75,11,13.5,2,1,0
487,Roys,PA,0,0,0,0,1,pre,10,6,2,5,11.5,15,1,0,0
487,Roys,PA,0,0,0,0,1,post,6,20,3,4.75,11,19,2,1,0
488,Roys,PA,0,0,0,0,1,pre,20,13,3,5,16,29.5,1,0,0
488,Roys,PA,0,0,0,0,1,post,5,15,3,4.75,15,15.5,2,1,0
489,Roys,PA,0,0,0,0,1,pre,5,23,2,5,14,18.5,1,0,0
489,Roys,PA,0,0,0,0,1,post,2,19,3,4.25,11.5,14.5,2,1,0
490,Roys,PA,0,0,0,0,1,pre,10,12.5,4,5,16,20.25,1,0,0
490,Roys,PA,0,0,0,0,1,post,2,18,3,5,16,14,2,1,0
493,Roys,PA,0,0,0,1,0,pre,27,12,3,5,16,36,1,0,0
493,Roys,PA,0,0,0,1,0,post,0,30,4,4.9,16,19,2,1,0
495,Roys,PA,0,0,0,0,1,pre,4,28,3,5,15,21,1,0,0
495,Roys,PA,0,0,0,0,1,post,8,20,3,5,16,21,2,1,0
496,Roys,PA,0,0,0,0,1,pre,10,15,3,5,16,20.5,1,0,0
496,Roys,PA,0,0,0,0,1,post,10,10,3,4.75,16,18,2,1,0
499,Wendys,PA,0,0,0,0,1,pre,0,28,5,5,12,19,1,0,0
499,Wendys,PA,0,0,0,0,1,post,0,31,5,5,12,20.5,2,1,0
509,Roys,PA,0,0,0,0,1,pre,3,16,3,5,16,14,1,0,0
509,Roys,PA,0,0,0,0,1,post,5.5,10,3,4.25,15.5,13.5,2,1,0
515,Roys,PA,0,0,0,0,1,pre,7,16,4,5,16,19,1,0,0
515,Roys,PA,0,0,0,0,1,post,5,19,3,4.75,16,17.5,2,1,0
37,BK,PA,0,0,0,1,0,pre,21,9,7,4.25,16.5,32.5,1,0,0
37,BK,PA,0,0,0,1,0,post,6,25,7,4.25,16.5,25.5,2,1,0
39,BK,PA,0,0,0,1,0,pre,1,32,2,4.25,17.5,19,1,0,0
39,BK,PA,0,0,0,1,0,post,5,15,3,NA,16.5,15.5,2,1,0
40,BK,PA,0,0,0,1,0,pre,10,20,7,4.25,16.5,27,1,0,0
40,BK,PA,0,0,0,1,0,post,7,25,6,4.25,17.5,25.5,2,1,0
41,BK,PA,0,0,0,1,0,pre,0,27,6,4.25,16.5,19.5,1,0,0
41,BK,PA,0,0,0,1,0,post,0,42,6,4.25,17.5,27,2,1,0
42,BK,PA,0,0,0,1,0,pre,17,4,5,4.5,16.5,24,1,0,0
42,BK,PA,0,0,0,1,0,post,0,22,5,4.25,16.5,16,2,1,0
45,BK,PA,0,0,0,1,0,pre,0,24,6,4.25,16,18,1,0,0
45,BK,PA,0,0,0,1,0,post,11,12,2,4.25,17.5,19,2,1,0
47,BK,PA,0,0,0,1,0,pre,25,15,NA,4.5,17,NA,1,0,0
47,BK,PA,0,0,0,1,0,post,0,45,2,4.25,18,24.5,2,1,0
48,BK,PA,0,0,0,1,0,pre,6,20,3,4.25,14,19,1,0,0
48,BK,PA,0,0,0,1,0,post,7.5,25,5,4.38,14,25,2,1,0
50,KFC,PA,0,0,0,1,0,pre,6,10,3,4.5,12,14,1,0,0
50,KFC,PA,0,0,0,1,0,post,4,20,3,4.75,13,17,2,1,0
51,KFC,PA,0,0,0,1,0,pre,0,15,3,4.25,13,10.5,1,0,0
51,KFC,PA,0,0,0,1,0,post,6,15,3,4.25,13,16.5,2,1,0
57,Wendys,PA,0,0,0,1,0,pre,30,10,3,4.67,12,38,1,0,0
57,Wendys,PA,0,0,0,1,0,post,7,18,4,4.5,12,20,2,1,0
58,Wendys,PA,0,0,0,1,0,pre,8,25,3,4.75,12,23.5,1,0,0
58,Wendys,PA,0,0,0,1,0,post,0,28,4,4.5,12,18,2,1,0
59,Wendys,PA,0,0,0,1,0,pre,0,15,3,4.25,10.5,10.5,1,0,0
59,Wendys,PA,0,0,0,1,0,post,0,16,4,4.25,10.5,12,2,1,0
60,Wendys,PA,0,0,0,1,0,pre,10,20,5,4.25,11.5,25,1,0,0
60,Wendys,PA,0,0,0,1,0,post,10,20,5,4.25,12,25,2,1,0
407,KFC,PA,0,0,0,0,1,pre,2,12,3,4.75,10,11,1,0,0
407,KFC,PA,0,0,0,0,1,post,1,14,3,4.25,11,11,2,1,0
430,BK,PA,0,0,0,1,0,pre,20,25,4,4.25,15,36.5,1,0,0
430,BK,PA,0,0,0,1,0,post,0,48,3,4.25,16,27,2,1,0
432,BK,PA,0,0,0,1,0,pre,20,55,5,4.5,16,52.5,1,0,0
432,BK,PA,0,0,0,1,0,post,25,10,4,5.05,16,34,2,1,0
433,BK,PA,0,0,0,1,0,pre,10,30,4,4.25,16,29,1,0,0
433,BK,PA,0,0,0,1,0,post,0,42,4,NA,16,25,2,1,0
434,BK,PA,0,0,0,1,0,pre,15,50,5,4.25,16,45,1,0,0
434,BK,PA,0,0,0,1,0,post,19,29,4,4.25,16,37.5,2,1,0
435,BK,PA,0,0,0,1,0,pre,1,37.5,3,4.25,15.5,22.75,1,0,0
435,BK,PA,0,0,0,1,0,post,0,32,5,4.25,15.5,21,2,1,0
438,KFC,PA,0,0,0,1,0,pre,0,9,3,4.25,8,7.5,1,0,0
438,KFC,PA,0,0,0,1,0,post,2,9,3,4.25,9,9.5,2,1,0
440,Wendys,PA,0,0,0,1,0,pre,0,25,3,4.25,11.5,15.5,1,0,0
440,Wendys,PA,0,0,0,1,0,post,0,30,3,NA,11.5,18,2,1,0
441,Wendys,PA,0,0,0,1,0,pre,30,10,3,4.25,11.5,38,1,0,0
441,Wendys,PA,0,0,0,1,0,post,0,30,3,4.25,11.5,18,2,1,0
443,Wendys,PA,0,0,0,1,0,pre,4,19,4,4.25,11.5,17.5,1,0,0
443,Wendys,PA,0,0,0,1,0,post,5,20,4,4.35,11.5,19,2,1,0
444,Wendys,PA,0,0,0,1,0,pre,12,20,3,4.25,12.5,25,1,0,0
444,Wendys,PA,0,0,0,1,0,post,10,35,4,4.5,11.5,31.5,2,1,0
446,BK,PA,0,0,0,0,1,pre,NA,NA,3,4.5,18,NA,1,0,0
446,BK,PA,0,0,0,0,1,post,7,24,4,5,18,23,2,1,0
448,BK,PA,0,0,0,0,1,pre,8,18,4,4.75,18,21,1,0,0
448,BK,PA,0,0,0,0,1,post,8,27,3,4.5,18,24.5,2,1,0
449,BK,PA,0,0,0,0,1,pre,0,25,3,4.87,18,15.5,1,0,0
449,BK,PA,0,0,0,0,1,post,15,15,5,5,18,27.5,2,1,0
450,BK,PA,0,0,0,0,1,pre,2,21,3,4.75,16.5,15.5,1,0,0
450,BK,PA,0,0,0,0,1,post,27.5,8,3,4.75,18,34.5,2,1,0
454,KFC,PA,0,0,0,0,1,pre,1,9,3,4.5,10,8.5,1,0,0
454,KFC,PA,0,0,0,0,1,post,0,18,5,5,11,14,2,1,0
459,Roys,PA,0,0,0,0,1,pre,5,20,3,4.25,16,18,1,0,0
459,Roys,PA,0,0,0,0,1,post,0,20,5,4.35,15,15,2,1,0
466,Wendys,PA,0,0,0,0,1,pre,8,17.5,4,4.75,11.5,20.75,1,0,0
466,Wendys,PA,0,0,0,0,1,post,14,12,3,NA,11.5,23,2,1,0
471,BK,PA,0,0,0,0,1,pre,25,20,4,4.25,18,39,1,0,0
471,BK,PA,0,0,0,0,1,post,12,23,3,4.25,18,26.5,2,1,0
472,BK,PA,0,0,0,0,1,pre,37.5,2,3,4.25,16.5,41.5,1,0,0
472,BK,PA,0,0,0,0,1,post,8,25,3,4.9,17,23.5,2,1,0
473,BK,PA,0,0,0,0,1,pre,5,27,4,4.75,17,22.5,1,0,0
473,BK,PA,0,0,0,0,1,post,26,15,2,4.5,17,35.5,2,1,0
475,BK,PA,0,0,0,0,1,pre,25,8,3,4.5,15,32,1,0,0
475,BK,PA,0,0,0,0,1,post,10,16,3,4.5,15,21,2,1,0
476,BK,PA,0,0,0,1,0,pre,6,30,3,4.25,18,24,1,0,0
476,BK,PA,0,0,0,1,0,post,5,30,3,4.75,18,23,2,1,0
477,BK,PA,0,0,0,0,1,pre,8,28,4,4.25,16.5,26,1,0,0
477,BK,PA,0,0,0,0,1,post,6,20,4,6.25,17,20,2,1,0
478,BK,PA,0,0,0,1,0,pre,32,25,4,4.5,19,48.5,1,0,0
478,BK,PA,0,0,0,1,0,post,8,30,4,4.35,18,27,2,1,0
485,KFC,PA,0,0,0,0,1,pre,1,9,3,4.5,10,8.5,1,0,0
485,KFC,PA,0,0,0,0,1,post,4,12,3,4.5,11,13,2,1,0
491,Roys,PA,0,0,0,0,1,pre,4,25,2,4.5,13,18.5,1,0,0
491,Roys,PA,0,0,0,0,1,post,0,0,0,NA,NA,0,2,1,0
492,Roys,PA,0,0,0,0,1,pre,2,16,3,4.5,12.5,13,1,0,0
492,Roys,PA,0,0,0,0,1,post,4,15,2,4.5,12.5,13.5,2,1,0
497,Wendys,PA,0,0,0,0,1,pre,12,15,3,4.5,12,22.5,1,0,0
497,Wendys,PA,0,0,0,0,1,post,NA,NA,5,NA,12,NA,2,1,0
498,Wendys,PA,0,0,0,0,1,pre,20,10,3,4.75,12,28,1,0,0
498,Wendys,PA,0,0,0,0,1,post,21,5.5,3,5,12,26.75,2,1,0
501,BK,PA,0,0,0,0,1,pre,14,15,3,4.25,16.5,24.5,1,0,0
501,BK,PA,0,0,0,0,1,post,30,15,6,4.75,18,43.5,2,1,0
503,BK,PA,0,0,0,0,1,pre,7.5,14,4,4.75,16.5,18.5,1,0,0
503,BK,PA,0,0,0,0,1,post,35,6.5,3,4.5,18,41.25,2,1,0
510,Roys,PA,0,0,0,0,1,pre,7,25,4,4.25,16,23.5,1,0,0
510,Roys,PA,0,0,0,0,1,post,2.5,17.5,3,NA,15,14.25,2,1,0
511,Roys,PA,0,0,0,0,1,pre,4,16,3,4.75,16.5,15,1,0,0
511,Roys,PA,0,0,0,0,1,post,3,13,3,4.75,15,12.5,2,1,0
514,Roys,PA,0,0,0,0,1,pre,5,20,3,4.5,16,18,1,0,0
514,Roys,PA,0,0,0,0,1,post,23,16,3,4.25,16,34,2,1,0
516,Roys,PA,0,0,0,0,1,pre,6,22.5,3,4.75,16,20.25,1,0,0
516,Roys,PA,0,0,0,0,1,post,2,12,2,4.91,14,10,2,1,0
521,BK,PA,0,0,0,1,0,pre,2.5,20,3,4.25,16.5,15.5,1,0,0
521,BK,PA,0,0,0,1,0,post,0,12,8,4.4,16,14,2,1,0
522,BK,PA,0,0,0,1,0,pre,2,30,4,4.35,16,21,1,0,0
522,BK,PA,0,0,0,1,0,post,3,23,3,4.25,16,17.5,2,1,0
113,BK,NJ,0,1,0,0,0,pre,0,22,4,NA,16,15,1,0,1
113,BK,NJ,0,1,0,0,0,post,2,40,5,5.05,16,27,2,1,1
123,BK,NJ,0,1,0,0,0,pre,0,20,5,NA,14.5,15,1,0,1
123,BK,NJ,0,1,0,0,0,post,5,25,4,5.05,14,21.5,2,1,1
135,Roys,NJ,0,1,0,0,0,pre,10,20,4,NA,12.5,24,1,0,1
135,Roys,NJ,0,1,0,0,0,post,8,24,3,5.05,11.5,23,2,1,1
138,Roys,NJ,0,0,0,0,0,pre,4.5,25.5,2,NA,11.5,19.25,1,0,1
138,Roys,NJ,0,0,0,0,0,post,2,33,3,5.05,11.5,21.5,2,1,1
153,BK,NJ,0,0,0,0,0,pre,0,25,9,NA,17,21.5,1,0,1
153,BK,NJ,0,0,0,0,0,post,26.5,10,3,5.05,17,34.5,2,1,1
181,KFC,NJ,0,0,0,0,0,pre,0,13,3,NA,11,9.5,1,0,1
181,KFC,NJ,0,0,0,0,0,post,1,15,2,5.05,11,10.5,2,1,1
191,Wendys,NJ,0,0,0,0,0,pre,30,20,4,NA,12,44,1,0,1
191,Wendys,NJ,0,0,0,0,0,post,0,25,4,5.05,12,16.5,2,1,1
231,BK,NJ,0,0,0,0,0,pre,NA,10,3,NA,16,NA,1,0,1
231,BK,NJ,0,0,0,0,0,post,16,6,4,5.05,16,23,2,1,1
236,BK,NJ,0,0,0,0,0,pre,0,34,4,NA,17,21,1,0,1
236,BK,NJ,0,0,0,0,0,post,23,22,4,5.05,18,38,2,1,1
254,Wendys,NJ,1,0,1,0,0,pre,20,10,3,NA,16,28,1,0,1
254,Wendys,NJ,1,0,1,0,0,post,28,10,3,5.25,15,36,2,1,1
255,Wendys,NJ,1,0,0,0,0,pre,0,14,3,NA,14,10,1,0,1
255,Wendys,NJ,1,0,0,0,0,post,8,12,2,NA,14,16,2,1,1
294,BK,NJ,0,0,0,0,0,pre,0,35,3,NA,16,20.5,1,0,1
294,BK,NJ,0,0,0,0,0,post,0,35,3,5.05,16,20.5,2,1,1
306,Roys,NJ,0,0,0,0,0,pre,15,15,3,NA,17,25.5,1,0,1
306,Roys,NJ,0,0,0,0,0,post,6,20,3,5.05,18,19,2,1,1
311,Wendys,NJ,0,0,0,0,0,pre,0,30,4,NA,11.5,19,1,0,1
311,Wendys,NJ,0,0,0,0,0,post,35,30,3,5.05,11.5,53,2,1,1
315,BK,NJ,1,0,0,0,0,pre,5,19,2,NA,16,16.5,1,0,1
315,BK,NJ,1,0,0,0,0,post,4.5,20,2,5.05,16,16.5,2,1,1
335,BK,NJ,1,0,0,0,0,pre,9,10,3,NA,17,17,1,0,1
335,BK,NJ,1,0,0,0,0,post,7,13,3,5.05,17,16.5,2,1,1
372,BK,NJ,0,0,0,0,0,pre,0,45,5,NA,19,27.5,1,0,1
372,BK,NJ,0,0,0,0,0,post,30,20,5,5.05,18.5,45,2,1,1
6,Roys,NJ,0,1,0,0,0,pre,2,2,2,5,7,5,1,0,1
6,Roys,NJ,0,1,0,0,0,post,5,2,2,5.05,8,8,2,1,1
14,KFC,NJ,0,1,0,0,0,pre,10,8,2,5.12,11,16,1,0,1
14,KFC,NJ,0,1,0,0,0,post,4,17,3,5.05,11,15.5,2,1,1
26,BK,NJ,0,0,0,0,0,pre,30,15,4,5.56,16,41.5,1,0,1
26,BK,NJ,0,0,0,0,0,post,10,20,4,5.05,16,24,2,1,1
27,KFC,NJ,0,1,0,0,0,pre,4,10,4,5,10,13,1,0,1
27,KFC,NJ,0,1,0,0,0,post,0,7,4,5.05,10,7.5,2,1,1
30,KFC,NJ,0,0,0,0,0,pre,6,4,2,5,10,10,1,0,1
30,KFC,NJ,0,0,0,0,0,post,4,3,2,5.05,10,7.5,2,1,1
31,KFC,NJ,0,1,0,0,0,pre,4,16,3,5.25,11,15,1,0,1
31,KFC,NJ,0,1,0,0,0,post,6,15,5,5.05,12.5,18.5,2,1,1
33,Roys,NJ,0,0,0,0,0,pre,12,20,4,5,17,26,1,0,1
33,Roys,NJ,0,0,0,0,0,post,6,11,5,5.05,17,16.5,2,1,1
36,Wendys,NJ,0,1,0,0,0,pre,8,12,4,5.5,13,18,1,0,1
36,Wendys,NJ,0,1,0,0,0,post,10,35,6,5.05,12.5,33.5,2,1,1
77,Roys,NJ,0,0,0,0,0,pre,6,50,4,5,19,35,1,0,1
77,Roys,NJ,0,0,0,0,0,post,4,60,3,5.05,19,37,2,1,1
78,Roys,NJ,0,0,0,0,0,pre,13,10,3,5,17,21,1,0,1
78,Roys,NJ,0,0,0,0,0,post,10,12,2,5.05,16,18,2,1,1
81,Wendys,NJ,0,0,0,0,0,pre,25,13,3,5,12,34.5,1,0,1
81,Wendys,NJ,0,0,0,0,0,post,0,45,4,5.05,11.5,26.5,2,1,1
82,Wendys,NJ,0,0,0,0,0,pre,8,14.5,3,5,13.5,18.25,1,0,1
82,Wendys,NJ,0,0,0,0,0,post,25,8,4,5.05,13.5,33,2,1,1
83,Wendys,NJ,0,0,0,0,0,pre,12.5,20,2,5,13.5,24.5,1,0,1
83,Wendys,NJ,0,0,0,0,0,post,NA,NA,4,5.05,14,NA,2,1,1
85,BK,NJ,0,1,1,0,0,pre,7,20,3,5.5,12.5,20,1,0,1
85,BK,NJ,0,1,1,0,0,post,0,35,3,5.05,12.5,20.5,2,1,1
89,BK,NJ,0,1,0,0,0,pre,10,6,3,5,16,16,1,0,1
89,BK,NJ,0,1,0,0,0,post,6,25,6,5.5,16,24.5,2,1,1
94,KFC,NJ,0,1,0,0,0,pre,0,25,5,5,10,17.5,1,0,1
94,KFC,NJ,0,1,0,0,0,post,2,20,4,5.05,10,16,2,1,1
103,Wendys,NJ,0,0,0,0,0,pre,12.5,10,3,5,11.5,20.5,1,0,1
103,Wendys,NJ,0,0,0,0,0,post,NA,NA,2,5.05,12.5,NA,2,1,1
112,Wendys,NJ,0,0,0,0,0,pre,4,26,3,5,14,20,1,0,1
112,Wendys,NJ,0,0,0,0,0,post,5,25,6,5.05,12.5,23.5,2,1,1
128,KFC,NJ,0,1,0,0,0,pre,6.5,7.5,2,5,11,12.25,1,0,1
128,KFC,NJ,0,1,0,0,0,post,3,16,2,5.05,11,13,2,1,1
129,Roys,NJ,0,1,0,0,0,pre,20,20,3,5.25,16,33,1,0,1
129,Roys,NJ,0,1,0,0,0,post,7,18,4,5.05,16,20,2,1,1
131,Roys,NJ,0,1,0,0,0,pre,15,25,4,5.5,17,31.5,1,0,1
131,Roys,NJ,0,1,0,0,0,post,8,22,3,5.05,15,22,2,1,1
139,Wendys,NJ,0,1,0,0,0,pre,NA,NA,2,5.5,12.5,NA,1,0,1
139,Wendys,NJ,0,1,0,0,0,post,11,25,5,5.5,12,28.5,2,1,1
143,Wendys,NJ,0,1,0,0,0,pre,0,30,3,5.37,11.5,18,1,0,1
143,Wendys,NJ,0,1,0,0,0,post,NA,NA,NA,NA,NA,NA,2,1,1
144,Wendys,NJ,0,1,0,0,0,pre,10,30,3,5.05,12.5,28,1,0,1
144,Wendys,NJ,0,1,0,0,0,post,4,37,3,5.05,12.5,25.5,2,1,1
145,BK,NJ,0,0,0,0,0,pre,5,17,3,5,16,16.5,1,0,1
145,BK,NJ,0,0,0,0,0,post,10,8,4,5.28,16,18,2,1,1
147,BK,NJ,0,0,0,0,0,pre,8.5,6.5,3,5.12,14,14.75,1,0,1
147,BK,NJ,0,0,0,0,0,post,6,0,3,5.25,14,9,2,1,1
148,BK,NJ,0,0,0,0,0,pre,4.5,30,4,5.25,17,23.5,1,0,1
148,BK,NJ,0,0,0,0,0,post,7.5,30,4,5.05,17,26.5,2,1,1
151,BK,NJ,0,0,0,0,0,pre,1,12,3,5,15,10,1,0,1
151,BK,NJ,0,0,0,0,0,post,0,0,0,NA,NA,0,2,1,1
152,BK,NJ,0,0,0,0,0,pre,35,15,4,5.12,15,46.5,1,0,1
152,BK,NJ,0,0,0,0,0,post,12,13.5,5,5.05,15,23.75,2,1,1
157,KFC,NJ,0,0,0,0,0,pre,10,5,3,5,12,15.5,1,0,1
157,KFC,NJ,0,0,0,0,0,post,12,8,2,5.5,11,18,2,1,1
161,Roys,NJ,0,0,0,0,0,pre,8,25,4,5,17,24.5,1,0,1
161,Roys,NJ,0,0,0,0,0,post,26,12,4,5.05,17,36,2,1,1
163,Roys,NJ,0,0,0,0,0,pre,12,18,3,5,16.5,24,1,0,1
163,Roys,NJ,0,0,0,0,0,post,1.5,33,3,5.05,15,21,2,1,1
164,Roys,NJ,0,0,0,0,0,pre,4,30,4,5,19,23,1,0,1
164,Roys,NJ,0,0,0,0,0,post,5,15,3,5.05,17,15.5,2,1,1
165,Wendys,NJ,0,0,0,0,0,pre,20,10,3,5,12.5,28,1,0,1
165,Wendys,NJ,0,0,0,0,0,post,10,17,4,5.05,12.5,22.5,2,1,1
169,BK,NJ,0,0,0,0,0,pre,12,33,4,5,16,32.5,1,0,1
169,BK,NJ,0,0,0,0,0,post,20,6,4,5.05,16,27,2,1,1
170,BK,NJ,0,0,0,0,0,pre,10,20,3,5,16,23,1,0,1
170,BK,NJ,0,0,0,0,0,post,20,20,4,5.05,16,34,2,1,1
187,Roys,NJ,0,0,1,0,0,pre,4,20,3,5.62,15,17,1,0,1
187,Roys,NJ,0,0,1,0,0,post,5,17.5,3,5.05,15,16.75,2,1,1
190,Roys,NJ,0,0,0,0,0,pre,5,42,4,5,16,30,1,0,1
190,Roys,NJ,0,0,0,0,0,post,7,30,4,5.05,15,26,2,1,1
196,Wendys,NJ,0,0,0,0,0,pre,8,19,4,5,11.5,21.5,1,0,1
196,Wendys,NJ,0,0,0,0,0,post,0,30,3,5.05,12.5,18,2,1,1
197,BK,NJ,0,0,0,0,0,pre,23,10,4,5,17,32,1,0,1
197,BK,NJ,0,0,0,0,0,post,5,21,5,5.05,17,20.5,2,1,1
234,BK,NJ,0,0,0,0,0,pre,0,10,3,5,16,8,1,0,1
